first_name,last_name,location,linkedin,email,current_title_and_company,prior_title_and_company,school_and_degree,climate_interest_reason,created_at,status,internal_notes
Anika,Nelson,Bay Area,,anika1460@protonmail.com,Recruiter @ University,,Stanford - CS,Just expanding my network.,2026-01-27T11:30:46Z,accepted,Probably not serious.
Sofia,Mitchell,Berlin,,sofia.mitchell@gmail.com,Technical Co-founder @ Coinbase,Policy Analyst @ Google,State University - Business,My ML experience in forecasting could be relevant to renewables prediction and battery optimization.,2026-01-30T21:38:24Z,applied,
Kiran,Hall,Toronto,https://linkedin.com/in/kiranhall,kiran1462@yahoo.com,Angel Investor @ VC Fund,Full Stack Engineer @ Stripe,High School Senior,Evaluating whether climate is too crowded for new capital.,2026-01-30T21:23:26Z,applied,Student exploring.
Adam,Collins,MA,https://linkedin.com/in/adamcollins,adamcollins@gmail.com,Recruiter at VC Fund,,UCLA - Design,Just expanding my network.,2026-01-22T04:40:18Z,confirmed,
Grace,Davis,New York,https://linkedin.com/in/gracedavis,gdavis@protonmail.com,Recruiter,MBA Candidate at Stripe,State University - Business,Just expanding my network.,2026-02-20T00:10:17Z,applied,
Jamie,Thomas,Seattle,https://linkedin.com/in/jamiethomas,jamie1465@yahoo.com,Backend Engineer at Stripe,,Cambridge - Engineering,Curious whether distributed systems problems show up in climate infra.,2026-01-13T22:30:34Z,accepted,Likely strong founder.
Sienna,Moore,SF,,sienna.moore@gmail.com,Talent Lead at Family Office,,MIT - Engineering,Exploring whether climate companies hire differently.,2026-01-10T05:04:26Z,accepted,
Valeria,Mehta,CA,https://linkedin.com/in/valeriamehta,valeria.mehta@outlook.com,Data Scientist,VC Fund,High School Senior,My ML experience in forecasting could be relevant to renewables prediction and battery optimization.,2026-01-15T10:10:52Z,applied,
Taylor,Hernandez,Denver,https://linkedin.com/in/taylorhernandez,taylor1468@yahoo.com,Operations Manager at Self-employed,,State University - Business,"Not sure yet, just checking out the ecosystem.",2026-02-18T10:29:25Z,applied,Probably not serious.
Sandeep,Adams,LA,https://linkedin.com/in/sandeepadams,sandeepadams@outlook.com,Student at Coinbase,Community Lead @ Coinbase,Oxford - PPE,Mostly here to learn and see what people are working on.,2026-01-17T12:07:31Z,declined,
Sara,Hernandez,Austin TX,https://linkedin.com/in/sarahernandez,shernandez@protonmail.com,Software Engineer @ Microsoft,Recruiter at University,NYU - Marketing,I've built data pipelines and want to explore emissions accounting infrastructure.,2026-01-16T13:01:52Z,applied,
Liam,Singh,IL,https://linkedin.com/in/liamsingh,lsingh@gmail.com,Stealth,CTO at University,High School Senior,I'm exploring startup careers and curious about climate.,2026-02-07T23:33:14Z,applied,
Jackson,Gonzalez,TX,https://linkedin.com/in/jacksongonzalez,jacksongonzalez@gmail.com,Product Manager (non-technical) @ Stripe,,State University - Business,I want to meet interesting people.,2026-02-11T21:30:36Z,accepted,Probably not serious.
Theo,Hill,Bay Area,https://linkedin.com/in/theohill,theo1473@yahoo.com,CTO @ Coinbase,,High School Senior,I've worked on high-scale backend systems and want to apply similar reliability thinking to energy grid software.,2026-01-09T22:38:11Z,accepted,
Nina,Singh,Chicago,https://linkedin.com/in/ninasingh,nina1474@outlook.com,Angel Investor at Self-employed,,NYU - Marketing,Evaluating whether climate is too crowded for new capital.,2026-01-26T14:10:28Z,accepted,
Aiden,Turner,NYC,https://linkedin.com/in/aidenturner,aiden1475@gmail.com,Software Engineer at Coinbase,,UCLA - Design,I've built data pipelines and want to explore emissions accounting infrastructure.,2026-01-23T07:26:13Z,accepted,
Lucas,Thomas,USA,https://linkedin.com/in/lucasthomas,lthomas@outlook.com,Policy Analyst @ Consulting Firm,Policy Analyst at Microsoft,NYU - Marketing,Just curious about the startup scene.,2026-02-19T13:07:36Z,accepted,
Rahul,Martinez,Seattle,https://linkedin.com/in/rahulmartinez,rahulmartinez@yahoo.com,Business Development @ Consulting Firm,Backend Engineer @ Shopify,UCLA - Design,I want to meet interesting people.,2026-02-07T14:45:13Z,applied,Operator profile.
Keiko,Lee,CA,https://linkedin.com/in/keikolee,klee@gmail.com,Airbnb,Stripe,Cambridge - Engineering,Exploring whether climate is a space worth committing to.,2026-01-20T15:24:27Z,applied,
Sofia,Anderson,Denver,https://linkedin.com/in/sofiaanderson,sanderson@yahoo.com,Software Engineer at Stealth,,State University - Business,Curious whether distributed systems problems show up in climate infra.,2026-02-10T22:58:15Z,applied,Student exploring.
Theo,Anderson,FL,https://linkedin.com/in/theoanderson,theo.anderson@outlook.com,Product Manager (non-technical) @ Google,Data Scientist at University,Stanford - CS,I want to meet interesting people.,2026-01-13T02:54:40Z,applied,
Zoe,Hall,,,zhall@gmail.com,Talent Lead @ Google,Venture Associate at Microsoft,Harvard - Economics,Just expanding my network.,2026-01-18T13:54:09Z,applied,
Rahul,Johnson,Toronto,https://linkedin.com/in/rahuljohnson,rjohnson@gmail.com,Business Development,Venture Associate at Consulting Firm,,Just curious about the startup scene.,2026-02-11T21:22:46Z,applied,
Olivia,Lopez,Bay Area,https://linkedin.com/in/olivialopez,olopez@protonmail.com,Backend Engineer @ University,Talent Lead @ Stealth,State University - Business,Curious whether distributed systems problems show up in climate infra.,2026-01-08T11:39:04Z,applied,
Lily,Nelson,LA,https://linkedin.com/in/lilynelson,lnelson@outlook.com,Technical Co-founder at Stripe,,Stanford - CS,My ML experience in forecasting could be relevant to renewables prediction and battery optimization.,2026-01-31T10:03:20Z,accepted,VC attendee.
Amir,Davis,Denver,https://linkedin.com/in/amirdavis,amirdavis@gmail.com,Venture Associate @ Early-stage startup,,State University - Business,"Honestly, I just like meeting founders and seeing what people are building.",2026-01-20T03:55:55Z,applied,
Theo,Hernandez,Los Angeles,,theo.hernandez@protonmail.com,Full Stack Engineer @ VC Fund,,High School Senior,I've built data pipelines and want to explore emissions accounting infrastructure.,2026-02-11T14:04:34Z,applied,
Sam,Perez,FL,,samperez@gmail.com,Marketing Manager,Operations Manager at Airbnb,High School Senior,I'm exploring startup careers and curious about climate.,2026-01-27T00:46:49Z,accepted,Student exploring.
Rahul,Thomas,"San Francisco, CA",,rahul.thomas@protonmail.com,ML Engineer at Shopify,MBA Candidate at Early-stage startup,UCLA - Design,I've built data pipelines and want to explore emissions accounting infrastructure.,2026-02-09T14:04:49Z,applied,Likely strong founder.
Jordan,Clark,Toronto,https://linkedin.com/in/jordanclark,jordan1489@protonmail.com,ML Engineer at Amazon,,High School Senior,I've built data pipelines and want to explore emissions accounting infrastructure.,2026-02-03T21:51:16Z,applied,
Kiran,Lopez,London,https://linkedin.com/in/kiranlopez,kiran1490@gmail.com,Student at Stealth,Student,High School Senior,Mostly here to learn and see what people are working on.,2026-01-05T05:12:43Z,accepted,
Aisha,Patel,MA,https://linkedin.com/in/aishapatel,aisha1491@yahoo.com,Marketing Manager @ Amazon,,Community College,Exploring whether climate is a space worth committing to.,2026-01-23T13:16:30Z,confirmed,
Casey,Nguyen,LA,https://linkedin.com/in/caseynguyen,cnguyen@outlook.com,ML Engineer,Startup Founder (exploring) @ Self-employed,Cambridge - Engineering,I'm a technical founder exploring climate SaaS opportunities.,2026-01-26T08:40:37Z,confirmed,
Lucas,Mitchell,Los Angeles,https://linkedin.com/in/lucasmitchell,lucas1493@yahoo.com,CTO at Stealth,,Community College,Curious whether distributed systems problems show up in climate infra.,2026-01-24T13:27:43Z,applied,
Jamie,Kim,Remote,https://linkedin.com/in/jamiekim,jamie.kim@gmail.com,CTO @ Airbnb,,High School Senior,Curious whether distributed systems problems show up in climate infra.,2026-02-18T05:31:22Z,accepted,
Logan,Martin,Denver,https://linkedin.com/in/loganmartin,logan.martin@protonmail.com,Student @ Family Office,AI Researcher @ Self-employed,High School Senior,I don't have a concrete idea yet but want exposure.,2026-01-21T00:27:38Z,applied,
Lucas,Evans,Paris,https://linkedin.com/in/lucasevans,lucas1496@gmail.com,Full Stack Engineer,Nonprofit,Harvard - Economics,I've worked on high-scale backend systems and want to apply similar reliability thinking to energy grid software.,2026-02-11T12:47:15Z,accepted,
Hannah,Torres,FL,https://linkedin.com/in/hannahtorres,hannah1497@protonmail.com,Data Scientist @ Stealth,Startup Founder (exploring) at Microsoft,NYU - Marketing,Curious whether distributed systems problems show up in climate infra.,2026-01-08T03:40:01Z,confirmed,
Becca,Turner,Austin TX,https://linkedin.com/in/beccaturner,bturner@outlook.com,Business Development @ Amazon,Software Engineer @ Google,Oxford - PPE,Exploring whether climate is a space worth committing to.,2026-02-12T01:38:49Z,applied,
Zoe,Singh,Austin TX,https://linkedin.com/in/zoesingh,zoesingh@gmail.com,Data Scientist @ Amazon,ML Engineer,Stanford - CS,My ML experience in forecasting could be relevant to renewables prediction and battery optimization.,2026-01-01T18:39:36Z,declined,
Hannah,Kim,Paris,https://linkedin.com/in/hannahkim,hannahkim@protonmail.com,Consulting Firm,Product Manager (non-technical) @ Consulting Firm,,Exploring whether climate is a space worth committing to.,2026-01-02T15:24:14Z,applied,
Becca,Green,LA,https://linkedin.com/in/beccagreen,beccagreen@gmail.com,Consulting Firm,Talent Lead @ Airbnb,MIT - Engineering,I want to meet interesting people.,2026-02-18T10:05:01Z,accepted,
Jamie,Martinez,SF,https://linkedin.com/in/jamiemartinez,jamie.martinez@protonmail.com,Product Manager (non-technical),,High School Senior,Trying to figure out if climate tech is where I should build my career.,2026-01-16T02:25:20Z,confirmed,
Isabella,Singh,Remote,https://linkedin.com/in/isabellasingh,isabellasingh@gmail.com,AI Researcher @ Consulting Firm,,Cambridge - Engineering,I've built data pipelines and want to explore emissions accounting infrastructure.,2026-01-29T13:22:24Z,declined,
Rahul,Brown,NYC,https://linkedin.com/in/rahulbrown,rahul1504@protonmail.com,Community Lead at Google,Software Engineer @ Stealth,Stanford - CS,I want to meet interesting people.,2026-01-22T13:37:23Z,confirmed,VC attendee.
Claire,Young,Boston,,claire1505@yahoo.com,Talent Lead at Coinbase,Talent Lead,Oxford - PPE,Just expanding my network.,2026-02-10T06:55:39Z,applied,
Emma,Cho,IL,https://linkedin.com/in/emmacho,emmacho@gmail.com,AI Researcher @ Microsoft,Data Scientist at Nonprofit,State University - Business,Curious whether distributed systems problems show up in climate infra.,2026-01-06T11:18:11Z,applied,
Sofia,Johnson,Boston,https://linkedin.com/in/sofiajohnson,sofiajohnson@protonmail.com,Shopify,,MIT - Engineering,Considering building something but still ideating.,2026-02-19T12:26:57Z,accepted,
Omar,Stewart,Paris,https://linkedin.com/in/omarstewart,omar.stewart@outlook.com,Marketing Manager at Early-stage startup,Sales Director @ Nonprofit,Harvard - Economics,I want to meet interesting people.,2026-01-11T23:02:45Z,applied,
Lucas,Kim,"San Francisco, CA",https://linkedin.com/in/lucaskim,lkim@yahoo.com,Full Stack Engineer @ University,Business Development @ Self-employed,UCLA - Design,I've built data pipelines and want to explore emissions accounting infrastructure.,2026-01-12T04:39:55Z,applied,Student exploring.
Tariq,Gonzalez,Bay Area,https://linkedin.com/in/tariqgonzalez,tariq1510@protonmail.com,Startup Founder (exploring) @ Family Office,,UCLA - Design,I want to meet interesting people.,2026-01-20T13:53:40Z,accepted,
Arjun,Baker,LA,https://linkedin.com/in/arjunbaker,arjunbaker@gmail.com,Community Lead at Amazon,Data Scientist @ Coinbase,MIT - Engineering,Just curious about the startup scene.,2026-01-05T09:52:03Z,accepted,Student exploring.
Camila,Stewart,USA,https://linkedin.com/in/camilastewart,cstewart@yahoo.com,Technical Co-founder at Google,AI Researcher @ Stealth,Harvard - Economics,I'm a technical founder exploring climate SaaS opportunities.,2026-02-12T19:48:14Z,declined,
Maya,Lee,London,https://linkedin.com/in/mayalee,maya.lee@protonmail.com,ML Engineer at Amazon,,UCLA - Design,My ML experience in forecasting could be relevant to renewables prediction and battery optimization.,2026-02-22T04:24:10Z,applied,
Sara,Perez,WA,,sara.perez@gmail.com,Operations Manager at Nonprofit,Full Stack Engineer,NYU - Marketing,Curious about supply chain and deployment challenges in climate.,2026-01-19T11:35:23Z,applied,
Nina,Perez,TX,,nina1515@gmail.com,Backend Engineer @ VC Fund,Talent Lead at Stealth,NYU - Marketing,I've built data pipelines and want to explore emissions accounting infrastructure.,2026-01-06T23:01:58Z,accepted,
Mei,Chen,IL,https://linkedin.com/in/meichen,meichen@yahoo.com,Business Development @ University,,NYU - Marketing,I want to meet interesting people.,2026-02-16T14:06:39Z,accepted,
Elena,Nguyen,Canada,https://linkedin.com/in/elenanguyen,elena1517@gmail.com,AI Researcher @ Family Office,MBA Candidate @ Shopify,Community College,I've worked on high-scale backend systems and want to apply similar reliability thinking to energy grid software.,2026-01-18T00:33:02Z,applied,VC attendee.
Leo,Adams,Denver,https://linkedin.com/in/leoadams,leo.adams@gmail.com,Full Stack Engineer @ Microsoft,,Stanford - CS,Curious whether distributed systems problems show up in climate infra.,2026-01-06T22:24:55Z,declined,
Claire,Edwards,LA,https://linkedin.com/in/claireedwards,claireedwards@protonmail.com,Shopify,Software Engineer at Stripe,Harvard - Economics,Just curious about the startup scene.,2026-01-01T01:30:25Z,accepted,
Rahul,Green,Paris,https://linkedin.com/in/rahulgreen,rahul.green@yahoo.com,Venture Associate at Consulting Firm,Student at Stealth,Harvard - Economics,I invest in early-stage startups and want to meet serious technical climate founders.,2026-01-07T00:23:22Z,accepted,
Lily,Chen,"San Francisco, CA",https://linkedin.com/in/lilychen,lily.chen@protonmail.com,Chief of Staff at Early-stage startup,Policy Analyst at Amazon,Oxford - PPE,I’ve scaled operations at startups and want to understand hardware-heavy climate companies.,2026-01-02T15:05:25Z,declined,
Isabella,Phillips,,https://linkedin.com/in/isabellaphillips,iphillips@gmail.com,Community Lead @ Self-employed,,,Just curious about the startup scene.,2026-01-13T02:06:51Z,applied,
Priya,Collins,TX,https://linkedin.com/in/priyacollins,priyacollins@yahoo.com,Software Engineer at Amazon,Full Stack Engineer @ Microsoft,Stanford - CS,I'm a technical founder exploring climate SaaS opportunities.,2026-01-16T23:54:42Z,accepted,
Jamie,Collins,IL,https://linkedin.com/in/jamiecollins,jcollins@yahoo.com,Data Scientist @ University,,Community College,I'm a technical founder exploring climate SaaS opportunities.,2026-02-20T19:59:28Z,applied,
Riley,Thompson,Boston,https://linkedin.com/in/rileythompson,riley.thompson@gmail.com,Policy Analyst @ Coinbase,Nonprofit,Oxford - PPE,Considering building something but still ideating.,2026-01-20T05:06:53Z,applied,Likely strong founder.
Claire,Hernandez,SF,https://linkedin.com/in/clairehernandez,claire.hernandez@gmail.com,Recruiter at Self-employed,,High School Senior,Exploring whether climate companies hire differently.,2026-02-22T14:33:56Z,applied,
Fatima,Carter,New York,https://linkedin.com/in/fatimacarter,fatima1527@yahoo.com,Chief of Staff,Student at Self-employed,State University - Business,Exploring operator roles in mission-driven startups.,2026-01-16T14:56:47Z,confirmed,
Tariq,Carter,CA,https://linkedin.com/in/tariqcarter,tcarter@protonmail.com,Full Stack Engineer at Nonprofit,Nonprofit,Stanford - CS,I've worked on high-scale backend systems and want to apply similar reliability thinking to energy grid software.,2026-01-29T18:41:21Z,applied,
Nina,Perez,MA,https://linkedin.com/in/ninaperez,nina.perez@protonmail.com,Early-stage startup,Sales Director at Nonprofit,High School Senior,Trying to figure out if climate tech is where I should build my career.,2026-01-04T22:44:07Z,confirmed,
Sienna,Singh,MA,https://linkedin.com/in/siennasingh,sienna.singh@protonmail.com,Nonprofit,MBA Candidate,Oxford - PPE,Just curious about the startup scene.,2026-01-22T10:39:14Z,declined,
Chloe,Hall,NYC,https://linkedin.com/in/chloehall,chloehall@protonmail.com,Startup Founder (exploring) @ University,Business Development at Family Office,Cambridge - Engineering,Exploring whether climate is a space worth committing to.,2026-01-05T06:28:44Z,applied,
Arjun,Martinez,Los Angeles,,arjun.martinez@gmail.com,Talent Lead @ VC Fund,Sales Director at Airbnb,Oxford - PPE,I recruit for startups and want to understand what climate companies need.,2026-02-02T15:25:08Z,applied,
Fatima,Wilson,Chicago,https://linkedin.com/in/fatimawilson,fatima1533@yahoo.com,Data Scientist @ Consulting Firm,Community Lead at Google,NYU - Marketing,I've built data pipelines and want to explore emissions accounting infrastructure.,2026-01-16T18:48:55Z,applied,Operator profile.
Elena,Davis,New York,https://linkedin.com/in/elenadavis,edavis@outlook.com,Talent Lead @ Microsoft,,,I recruit for startups and want to understand what climate companies need.,2026-01-05T00:35:54Z,applied,
Chloe,Brown,Denver,https://linkedin.com/in/chloebrown,cbrown@yahoo.com,Data Scientist @ Amazon,,Community College,I've worked on high-scale backend systems and want to apply similar reliability thinking to energy grid software.,2026-01-03T20:10:29Z,declined,
Jackson,Hill,Chicago,,jackson1536@gmail.com,Data Scientist at Family Office,Data Scientist @ Amazon,,I've built data pipelines and want to explore emissions accounting infrastructure.,2026-02-19T09:03:29Z,confirmed,
Grace,Nguyen,SF,https://linkedin.com/in/gracenguyen,grace1537@yahoo.com,Policy Analyst @ VC Fund,,Oxford - PPE,Considering building something but still ideating.,2026-01-16T22:54:16Z,declined,
Camila,Martin,IL,,camila1538@yahoo.com,Business Development at Early-stage startup,University,MIT - Engineering,Exploring whether climate is a space worth committing to.,2026-01-30T20:10:09Z,applied,
Claire,Wright,Austin TX,https://linkedin.com/in/clairewright,claire.wright@yahoo.com,Full Stack Engineer,,MIT - Engineering,I've worked on high-scale backend systems and want to apply similar reliability thinking to energy grid software.,2026-02-15T17:45:10Z,accepted,
Jun,Lopez,Austin TX,https://linkedin.com/in/junlopez,jun1540@yahoo.com,Shopify,,Stanford - CS,Considering building something but still ideating.,2026-01-13T02:49:23Z,declined,Student exploring.
Rahul,Martinez,LA,https://linkedin.com/in/rahulmartinez,rahul.martinez@outlook.com,Software Engineer,Talent Lead at Shopify,Oxford - PPE,I've built data pipelines and want to explore emissions accounting infrastructure.,2026-01-30T07:54:58Z,applied,
Mei,Lewis,FL,https://linkedin.com/in/meilewis,meilewis@protonmail.com,Stealth,,High School Senior,Mostly here to learn and see what people are working on.,2026-01-23T05:37:21Z,applied,
Daniel,Clark,Los Angeles,,daniel1543@gmail.com,Talent Lead at University,,State University - Business,Looking to build relationships with founders who will need early hires.,2026-01-01T19:02:28Z,applied,
Ava,Adams,London,,ava.adams@yahoo.com,Data Scientist at University,Operations Manager,High School Senior,I've built data pipelines and want to explore emissions accounting infrastructure.,2026-01-09T04:00:15Z,applied,
Aiden,Green,LA,,aidengreen@protonmail.com,Marketing Manager at VC Fund,,Oxford - PPE,Just curious about the startup scene.,2026-02-15T07:04:18Z,confirmed,
Keiko,Parker,SF,https://linkedin.com/in/keikoparker,keiko1546@outlook.com,Coinbase,Full Stack Engineer @ Self-employed,NYU - Marketing,I want to meet interesting people.,2026-01-09T10:27:27Z,applied,
Sandeep,Clark,Chicago,https://linkedin.com/in/sandeepclark,sandeep.clark@protonmail.com,CTO at Airbnb,Chief of Staff at Early-stage startup,Harvard - Economics,I've built data pipelines and want to explore emissions accounting infrastructure.,2026-01-01T20:18:44Z,applied,Probably not serious.
Sam,Allen,Denver,,sam1548@yahoo.com,ML Engineer @ Google,,Cambridge - Engineering,I've built data pipelines and want to explore emissions accounting infrastructure.,2026-02-15T06:35:14Z,accepted,
Eli,Evans,Miami,,elievans@protonmail.com,Marketing Manager @ Coinbase,,State University - Business,Just curious about the startup scene.,2026-01-07T01:31:53Z,applied,Likely strong founder.
Adam,Parker,Chicago,https://linkedin.com/in/adamparker,adam1550@protonmail.com,Venture Associate at Consulting Firm,AI Researcher @ Google,UCLA - Design,Evaluating whether climate is too crowded for new capital.,2026-01-26T21:07:28Z,applied,
Chloe,Young,Los Angeles,,chloeyoung@protonmail.com,Business Development @ Airbnb,,Oxford - PPE,Exploring whether climate is a space worth committing to.,2026-01-08T12:30:14Z,accepted,
Liam,Carter,TX,https://linkedin.com/in/liamcarter,liamcarter@gmail.com,Data Scientist @ Self-employed,,Cambridge - Engineering,My ML experience in forecasting could be relevant to renewables prediction and battery optimization.,2026-02-10T03:29:59Z,applied,
Sandeep,Hall,WA,https://linkedin.com/in/sandeephall,sandeep1553@protonmail.com,Family Office,Talent Lead @ Self-employed,Community College,Considering building something but still ideating.,2026-02-08T08:24:42Z,applied,
Sara,Collins,Paris,https://linkedin.com/in/saracollins,scollins@protonmail.com,ML Engineer,,Cambridge - Engineering,Curious whether distributed systems problems show up in climate infra.,2026-01-31T18:13:38Z,confirmed,Student exploring.
Ben,Thompson,Seattle,,bthompson@gmail.com,Community Lead @ Airbnb,Angel Investor @ Shopify,State University - Business,Considering building something but still ideating.,2026-02-07T10:27:38Z,confirmed,
Sandeep,Perez,Seattle,,sperez@outlook.com,Marketing Manager at Stripe,Student at University,Harvard - Economics,Just curious about the startup scene.,2026-02-04T20:39:36Z,applied,
Tariq,Stewart,FL,https://linkedin.com/in/tariqstewart,tariq.stewart@outlook.com,Full Stack Engineer @ Stealth,Venture Associate @ Stripe,UCLA - Design,I've built data pipelines and want to explore emissions accounting infrastructure.,2026-02-15T09:09:20Z,accepted,
Sienna,Robinson,FL,https://linkedin.com/in/siennarobinson,sienna.robinson@yahoo.com,CTO @ Stealth,,MIT - Engineering,I've worked on high-scale backend systems and want to apply similar reliability thinking to energy grid software.,2026-01-18T13:40:17Z,applied,
Nina,Collins,Paris,https://linkedin.com/in/ninacollins,ncollins@yahoo.com,Product Manager (non-technical),,MIT - Engineering,Considering building something but still ideating.,2026-02-15T12:24:25Z,applied,
Sienna,Robinson,Austin TX,,siennarobinson@yahoo.com,CTO,Business Development @ Airbnb,High School Senior,My ML experience in forecasting could be relevant to renewables prediction and battery optimization.,2026-01-10T21:09:30Z,applied,
Emma,Walker,IL,https://linkedin.com/in/emmawalker,emma.walker@yahoo.com,Recruiter at Google,Backend Engineer at Family Office,MIT - Engineering,Looking to build relationships with founders who will need early hires.,2026-02-08T08:45:49Z,applied,
Casey,Johnson,Berlin,https://linkedin.com/in/caseyjohnson,casey.johnson@gmail.com,Nonprofit,Software Engineer at VC Fund,Cambridge - Engineering,Exploring whether climate is a space worth committing to.,2026-02-07T10:15:37Z,applied,
Anika,Torres,Chicago,,anika.torres@outlook.com,Product Manager (non-technical) at Microsoft,,MIT - Engineering,Considering building something but still ideating.,2026-01-22T22:51:21Z,applied,Probably not serious.
Ivy,Mitchell,CA,https://linkedin.com/in/ivymitchell,ivy1564@protonmail.com,AI Researcher at Microsoft,Business Development @ Google,Harvard - Economics,I've built data pipelines and want to explore emissions accounting infrastructure.,2026-01-18T19:06:41Z,applied,
Taylor,Lopez,CA,,taylor.lopez@gmail.com,Student @ Family Office,,,I'm exploring startup careers and curious about climate.,2026-02-22T20:31:06Z,applied,
Diego,Lee,Los Angeles,https://linkedin.com/in/diegolee,diego1566@gmail.com,Recruiter at Family Office,Startup Founder (exploring) at Consulting Firm,Harvard - Economics,Just expanding my network.,2026-02-15T14:14:44Z,applied,
Liam,Perez,Bay Area,https://linkedin.com/in/liamperez,liam1567@yahoo.com,Sales Director @ VC Fund,Airbnb,NYU - Marketing,Exploring whether climate is a space worth committing to.,2026-01-30T00:13:03Z,applied,
Noah,Hill,Miami,https://linkedin.com/in/noahhill,noahhill@yahoo.com,Airbnb,Data Scientist,Community College,Exploring whether climate is a space worth committing to.,2026-02-17T01:08:19Z,applied,
Lucas,Lewis,CO,https://linkedin.com/in/lucaslewis,lucaslewis@protonmail.com,Community Lead @ Microsoft,,Oxford - PPE,I want to meet interesting people.,2026-01-09T03:29:11Z,applied,
Ivy,Young,FL,https://linkedin.com/in/ivyyoung,ivy1570@protonmail.com,Student at Family Office,,Harvard - Economics,I don't have a concrete idea yet but want exposure.,2026-01-18T14:00:55Z,accepted,Likely strong founder.
Taylor,Lopez,CO,https://linkedin.com/in/taylorlopez,taylor.lopez@outlook.com,AI Researcher at Amazon,,Cambridge - Engineering,I'm a technical founder exploring climate SaaS opportunities.,2026-01-30T20:18:05Z,declined,
Aiden,Davis,TX,,aiden1572@outlook.com,Recruiter,,Oxford - PPE,Exploring whether climate companies hire differently.,2026-01-27T19:15:45Z,applied,
Leo,Mehta,"San Francisco, CA",https://linkedin.com/in/leomehta,leo.mehta@protonmail.com,Product Manager (non-technical) at Family Office,,Community College,Exploring whether climate is a space worth committing to.,2026-02-07T00:04:46Z,applied,
Yuki,Carter,WA,https://linkedin.com/in/yukicarter,yuki.carter@gmail.com,Technical Co-founder,Backend Engineer @ VC Fund,UCLA - Design,I'm a technical founder exploring climate SaaS opportunities.,2026-02-16T00:32:34Z,accepted,
Mateo,Nguyen,FL,,mateo1575@gmail.com,Student @ Google,Community Lead @ Stealth,Harvard - Economics,I don't have a concrete idea yet but want exposure.,2026-02-13T02:10:50Z,confirmed,
Jordan,Patel,London,https://linkedin.com/in/jordanpatel,jpatel@protonmail.com,Angel Investor @ Shopify,Business Development,State University - Business,I invest in early-stage startups and want to meet serious technical climate founders.,2026-01-28T23:17:34Z,confirmed,Probably not serious.
Isabella,Davis,Canada,https://linkedin.com/in/isabelladavis,idavis@gmail.com,Full Stack Engineer @ Nonprofit,Venture Associate @ Shopify,High School Senior,I'm a technical founder exploring climate SaaS opportunities.,2026-02-13T00:50:33Z,applied,
Yuki,Cho,USA,,yuki1578@protonmail.com,Full Stack Engineer @ Stealth,,State University - Business,Curious whether distributed systems problems show up in climate infra.,2026-02-15T14:23:51Z,applied,
Jun,Wright,Seattle,https://linkedin.com/in/junwright,junwright@yahoo.com,Coinbase,,NYU - Marketing,Exploring whether climate is a space worth committing to.,2026-02-20T22:37:08Z,applied,
Marcus,Thomas,TX,https://linkedin.com/in/marcusthomas,marcusthomas@outlook.com,Early-stage startup,,Harvard - Economics,Just curious about the startup scene.,2026-02-21T08:06:21Z,accepted,Student exploring.
Marcus,Kim,Denver,https://linkedin.com/in/marcuskim,marcus1581@gmail.com,Marketing Manager,,High School Senior,Trying to figure out if climate tech is where I should build my career.,2026-02-19T04:35:28Z,applied,
Aiden,Stewart,CA,,aiden1582@protonmail.com,ML Engineer @ Shopify,,Cambridge - Engineering,I've built data pipelines and want to explore emissions accounting infrastructure.,2026-02-19T22:54:36Z,accepted,
Leo,King,Canada,https://linkedin.com/in/leoking,leo1583@yahoo.com,Business Development at Shopify,Venture Associate at Consulting Firm,Oxford - PPE,I want to meet interesting people.,2026-02-22T15:18:44Z,applied,
Daniel,Patel,CO,https://linkedin.com/in/danielpatel,danielpatel@gmail.com,Chief of Staff @ Coinbase,Product Manager (non-technical) @ Consulting Firm,Oxford - PPE,Curious about supply chain and deployment challenges in climate.,2026-01-21T14:32:19Z,applied,Student exploring.
Lucas,Adams,Paris,,lucas1585@outlook.com,Operations Manager @ Stripe,Student at Coinbase,Cambridge - Engineering,Exploring operator roles in mission-driven startups.,2026-01-05T07:56:00Z,applied,
Lily,Taylor,Miami,https://linkedin.com/in/lilytaylor,lily.taylor@outlook.com,Angel Investor at Amazon,Airbnb,,"Honestly, I just like meeting founders and seeing what people are building.",2026-02-21T22:37:24Z,applied,
Amir,Martinez,MA,https://linkedin.com/in/amirmartinez,amartinez@outlook.com,Startup Founder (exploring) @ University,,Community College,Considering building something but still ideating.,2026-02-05T05:33:39Z,applied,
Adam,Campbell,FL,,adam.campbell@gmail.com,CTO,,,I've built data pipelines and want to explore emissions accounting infrastructure.,2026-01-28T10:41:36Z,applied,
Arjun,Hall,"San Francisco, CA",https://linkedin.com/in/arjunhall,ahall@outlook.com,Operations Manager at Nonprofit,Sales Director @ Nonprofit,High School Senior,Trying to figure out if climate tech is where I should build my career.,2026-01-06T20:16:27Z,confirmed,
Adam,Collins,CO,https://linkedin.com/in/adamcollins,acollins@protonmail.com,Product Manager (non-technical) at Amazon,,Stanford - CS,Just curious about the startup scene.,2026-02-19T06:54:52Z,applied,Student exploring.
Mason,Adams,Chicago,https://linkedin.com/in/masonadams,mason.adams@yahoo.com,Business Development at Google,Marketing Manager @ Coinbase,Cambridge - Engineering,I want to meet interesting people.,2026-01-18T21:38:10Z,accepted,
